stop_id,stop_name,stop_lat,stop_lon,location_type
2328,"CIUDAD DE LA PAZ&&GARCIA, TEODORO",-34.5711092924,-58.4466988867,0
2329,"CAMPOS, LUIS M. AV.&&REPUBLICA DE ESLOVENIA",-34.5711098686,-58.434919492,0
2338,"CONDE&&PINO, VIRREY DEL",-34.571216685,-58.4620838418,0
2339,"BAUNESS&&LE BRETON, TOMAS A.",-34.5712192352,-58.4907649998,0
2350,"ROLDAN, BELISARIO AV.&&SARMIENTO AV.",-34.5711242221,-58.4115055104,0
2351,"FIGUEROA ALCORTA, PRES. AV.&&SARMIENTO AV.",-34.571368887,-58.4118672696,0
2352,"DE LOS CONSTITUYENTES AV.&&PIRAN",-34.5714059609,-58.5066738253,0
2356,"SUCRE, ANTONIO JOSE DE, MCAL.&&WASHINGTON",-34.5714680892,-58.4678781664,0
2371,"NAHUEL HUAPI&&TRIUNVIRATO AV.",-34.5717153265,-58.4896944095,0
2386,"BAUNESS&&NAHUEL HUAPI",-34.571971075,-58.4901606956,0
2396,"NAON, ROMULO&&SUCRE, ANTONIO JOSE DE, MCAL.",-34.5720120039,-58.4688409157,0
2434,"BUCARELLI&&NAHUEL HUAPI",-34.5725774585,-58.4912667314,0
2442,"BAUNESS&&RIVERA, PEDRO I., DR.",-34.5727206577,-58.4895581677,0
2443,"ALVAREZ THOMAS AV.&&BLANCO ENCALADA",-34.5727476685,-58.4816378059,0
2447,"DE LOS CONSTITUYENTES AV.&&TAMBORINI, JOSE PASCUAL",-34.5728056475,-58.5041947683,0
2456,"CULLEN&&TRIUNVIRATO AV.",-34.5729806236,-58.4880617089,0
2463,"DIAZ COLODRERO&&ROOSEVELT FRANKLIN D. AV.",-34.5730424146,-58.4861045083,0
